mode,frequency_hz,classification,use_below_5khz
1,0,rigid,0
2,0,rigid,0
3,2.39e-4,rigid,0
4,9.82e-4,rigid,0
5,1.32e-3,rigid,0
6,1.52e-3,rigid,0
7,1832.565469,elastic,1
8,1845.781068,elastic,1
9,3010.794375,elastic,1
10,3053.891626,elastic,1
11,4976.103825,elastic,1
12,4976.220685,elastic,1
13,7761.465775,elastic,0
14,7761.521671,elastic,0
15,8711.641199,elastic,0
16,9392.466582,elastic,0
17,9811.322180,elastic,0
18,9979.349371,elastic,0
19,9979.482888,elastic,0
20,10258.506260,elastic,0
21,12260.081230,elastic,0
22,12260.151210,elastic,0
23,12610.704540,elastic,0
24,13200.011470,elastic,0
25,13764.248420,elastic,0
26,13764.734110,elastic,0
27,14391.975730,elastic,0
28,14392.296980,elastic,0
29,16386.337490,elastic,0
30,16386.510240,elastic,0
